zip,Zipcode name,City,State,County Name
98087,"LYNNWOOD, WA",LYNNWOOD,WA,SNOHOMISH
98935,"MABTON, WA",MABTON,WA,YAKIMA
98828,"MALAGA, WA",MALAGA,WA,CHELAN
99149,"MALDEN, WA",MALDEN,WA,WHITMAN
99150,"MALO, WA",MALO,WA,FERRY
98559,"MALONE, WA",MALONE,WA,GRAYS HARBOR
98829,"MALOTT, WA",MALOTT,WA,OKANOGAN
98353,"MANCHESTER, WA",MANCHESTER,WA,KITSAP
98830,"MANSFIELD, WA",MANSFIELD,WA,DOUGLAS
98831,"MANSON, WA",MANSON,WA,CHELAN
98266,"MAPLE FALLS, WA",MAPLE FALLS,WA,WHATCOM
98038,"MAPLE VALLEY, WA",MAPLE VALLEY,WA,KING
98267,"MARBLEMOUNT, WA",MARBLEMOUNT,WA,SKAGIT
99151,"MARCUS, WA",MARCUS,WA,STEVENS
98832,"MARLIN, WA",MARLIN,WA,GRANT
99020,"MARSHALL, WA",MARSHALL,WA,SPOKANE
98270,"MARYSVILLE, WA",MARYSVILLE,WA,SNOHOMISH
98271,"MARYSVILLE, WA",MARYSVILLE,WA,SNOHOMISH
98560,"MATLOCK, WA",MATLOCK,WA,MASON
99349,"MATTAWA, WA",MATTAWA,WA,GRANT
98833,"MAZAMA, WA",MAZAMA,WA,OKANOGAN
98438,"MCCHORD AFB, WA",MCCHORD AFB,WA,PIERCE
98557,"MCCLEARY, WA",MCCLEARY,WA,GRAYS HARBOR
98558,"MCKENNA, WA",MCKENNA,WA,PIERCE
99021,"MEAD, WA",MEAD,WA,SPOKANE
99022,"MEDICAL LAKE, WA",MEDICAL LAKE,WA,SPOKANE
98039,"MEDINA, WA",MEDINA,WA,KING
98561,"MENLO, WA",MENLO,WA,PACIFIC
98040,"MERCER ISLAND, WA",MERCER ISLAND,WA,KING
99343,"MESA, WA",MESA,WA,FRANKLIN
99152,"METALINE, WA",METALINE,WA,PEND OREILLE
99153,"METALINE FALLS, WA",METALINE FALLS,WA,PEND OREILLE
98834,"METHOW, WA",METHOW,WA,OKANOGAN
99023,"MICA, WA",MICA,WA,SPOKANE
98082,"MILL CREEK, WA",MILL CREEK,WA,SNOHOMISH
98354,"MILTON, WA",MILTON,WA,PIERCE
98355,"MINERAL, WA",MINERAL,WA,LEWIS
98562,"MOCLIPS, WA",MOCLIPS,WA,GRAYS HARBOR
99154,"MOHLER, WA",MOHLER,WA,LINCOLN
98836,"MONITOR, WA",MONITOR,WA,CHELAN
98272,"MONROE, WA",MONROE,WA,SNOHOMISH
98563,"MONTESANO, WA",MONTESANO,WA,GRAYS HARBOR
98356,"MORTON, WA",MORTON,WA,LEWIS
